Correct	Ground truth	Prediction	Confidence	Text
1	comment	comment	0.90	[CLS] face facts : immigrants commit fewer crimes than u . s . - born peers [ e ##os ] a legal immigrants maybe , who cares , they are here legally . [ e ##os ] illegal immigrants ? [ e ##os ] they statistical ##ly commit more crime by a huge margin . [ e ##os ] not sure why this sub insists on pretending the right does n ’ t like legal immigrants , that ’ s what we want lo ##l , it ’ s either that or they consider a legal immigrant the equal to an illegal immigrant which is pretty fucking di ##sr ##es ##pe ##ct ##ful to legal immigrants . [ e ##os ] [SEP] & gt ; they statistical ##ly commit more crime by a huge margin . [ e ##os ] source ? & [ e ##os ] gt ; not sure why this sub insists on pretending the right does n ’ t like legal immigrants because the current administration is making legal immigration more difficult . [ e ##os ] the requirements for several of the working visa programs have changed significantly , and the ban - that - isn ##ot - about - muslims - but - totally - is - about - muslims makes people not want to come here for fear of getting turned away at last minute . [ e ##os ] many people with green cards and visas were caught up in the travel ban . [ e ##os ] there was a reason that several states sued to over ##turn the ban , and it ' s not because they love illegal immigrants . [ e ##os ] edit : they also talk about ending chain migration , which is what allowed people like trump and pen ##ce to be in this country in the first place . [ e ##os ] they got theirs and now they want to make sure no one else has a chance . [ e ##os ] [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
1	comment	comment	0.90	[CLS] face facts : immigrants commit fewer crimes than u . s . - born peers [ e ##os ] i have never want ##on ##ly violated any nation ' s immigration laws as illegal immigrants have in the u . s . i have also travelled to most of their countries . [ e ##os ] if i had want ##on ##ly violated their country ' s immigration laws in the same way , then i would have been * as des ##erving * of the same ex ##ped ##iti ##ous deportation consequences they should face in the u . s . you see , unlike their mis ##guide ##d advocates , i do not believe in legal double standards . [ e ##os ] it is beyond di ##sing ##en ##uous to con ##fl ##ate their law breaking and the consequences that result from it with other minor in ##fra ##ctions . [ e ##os ] mini ##mi ##zing those consequences is outright fraudulent . [ e ##os ] [SEP] & gt ; i have no tolerance for any criminal activity whatsoever i ' m only responding to your * exact word ##ing * of * any criminal activity * . word ##ing you now seem to want to back ##ped ##al on . [ e ##os ] also , the majority of illegal immigrants have just overs ##ta ##yed visas . [ e ##os ] that happens to be considered a lesser crime than crossing the border illegally . [ e ##os ] on top of that , illegal immigrants are great for the private sector where they struggle to employ citizens . [ e ##os ] farm work is a big one there . [ e ##os ] a lot of the food that makes it to tables is due to the contribution of illegal immigrants . [ e ##os ] they also contribute to society and taxes with it ##ins unlike our president who has b ##lat ##antly bragg ##ed about not paying federal income taxes . [ e ##os ] [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
1	comment	comment	0.97	"[CLS] face facts : immigrants commit fewer crimes than u . s . - born peers [ e ##os ] panama is used as a major drug trafficking * port * and gets a hands - off on the worst of the violence , whereas mexico is so large and populated that its status as a border country does not matter because that ' s where so many of the producers and their rich over ##lord ##s are living . [ e ##os ] panama is used as the clean business front . [ e ##os ] you also ca not ignore the * positive * involvement of the us in panama ( overseeing the canal ) ; we have an obvious economic interest in panama * not * being a terrifying place because it would shit all over our trade , whereas the security of mexico or colombia is less of a concern for us . [ e ##os ] first , the way we profit ##ed by drug countries was * through * the creation and sale of drugs . [ e ##os ] then , when those drugs are sold in the us , we profit by criminal ##izing them and filling the prisons with cheap labor , with the secondary "" benefit "" of di ##sp ##rop ##ort ##ion ##ately target ##ting people of color and other und ##es ##ira ##bles ; a fine bonus for the racist ##s in charge of policy . [ e ##os ] fear of violence [SEP] if america causes these places to be how they are , then why is not canada some drug \ - export ##ing dump like the rest of them ? [ e ##os ] i ' ve been there , the place in life where we need to put the us at the center of everything . [ e ##os ] every problem everywhere is our fault . [ e ##os ] you ' ll get over it . [ e ##os ] some places are just not that great . [ e ##os ] [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
1	comment	comment	0.94	[CLS] is it true that some people in america gets jailed for life to stealing wit ##out violence ? [ e ##os ] why ? [ e ##os ] that ' s an ex ##agger ##ation . [ e ##os ] the three - strikes law only applies to persons convicted of violent crimes or serious fe ##lon ##ies . [ e ##os ] you can be arrested for the same mis ##de ##me ##anor as often as you want , that law wo not apply to you . [ e ##os ] that law actually makes sense , because why would you want violent criminals and serious fe ##lon ##s running around free ? [ e ##os ] especially after they had two previous chances to correct their lives and get their shit together . [ e ##os ] [SEP] plenty of states have three - strikes laws that do not just apply to violent crimes or serious fe ##lon ##ies . [ e ##os ] many of these folks should be locked away . [ e ##os ] but the fact that there are relatively harmless folks who have been deprived of a normal life and a chance to be a regular citizen is no ex ##agger ##ation . [ [ e ##os ] ac ##lu report on 3 , 200 non - violent offenders sentenced to life without parole in the us . ] ( $ ur ##l $ ) some of those crimes included things like : * attempting to cash a stolen check * a junk - dealer ’ s possession of stolen junk metal ( 10 valves and one elbow pipe ) * possession of stolen wren ##ches * sip ##hon ##ing gasoline from a truck * stealing tools from a tool shed and a welding machine from a yard * shop ##lifting three belts from a department store * shop ##lifting several digital cameras * shop ##lifting two jerseys from an athletic store * taking a television , circular saw , and a power convert ##er from a vacant house * breaking into a closed liquor store in the middle of the night [ e ##os ] [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
1	comment	comment	0.75	[CLS] de ##bu ##nk this : mt . et ##na has already put out more than 10 , 000 ##x tb ##e co ##2 than human ##kind has in its entire existence . [ e ##os ] [ deleted ] [ e ##os ] [SEP] it ' s clear from the s ##no ##pes article that this me ##me is para ##ph ##ras ##ing a particular claim by a particular author , and it ' s fully addressed in the article . [ e ##os ] it estimates the yearly output of all volcanoes to be about 550 ##mt ##ons per year , whereas human output about 35 , 000 mt ##ons per year . [ e ##os ] that accounts for several hound ##ed active volcanoes . [ e ##os ] so that should give op enough numbers to do some back of the envelope calculations of he really wanted to answer that question , but i do not think that ' s what he wanted to know . [ e ##os ] i think you ' re giving an over - literal interpretation of his words , without taking into account what he likely meant to say . [ e ##os ] also even if that is indeed what he meant , it ' s kinda a silly thing to ask . [ e ##os ] we have the co ##2 records going back millions of years , from measuring trapped air bubbles in stone . [ e ##os ] we ' ve seen co ##2 get really high , then get lower as plants se ##quest ##ered it as hydro ##carbon ##s . [ e ##os ] it ' s all over the place . [ e ##os ] so it is not really relevant to ask what the co ##2 output of a volcano is , because it never really had enough of an impact historically to really be a relevant factor . [ e ##os ] i . e . if it was highly impact ##ful ##l , our planet would already be much warmer because volcano ##s have been around a long time . [ e ##os ] [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
1	comment	comment	0.96	[CLS] face facts : immigrants commit fewer crimes than u . s . - born peers [ e ##os ] you ’ re creating a straw man by ins ##in ##uating the democrats advocate “ open - borders ” in policy . [ e ##os ] you refuse to address that because you know your ins ##in ##uation is false . [ e ##os ] or maybe it ’ s will ##ful ignorance . [ e ##os ] regardless , you ’ re wrong . [ e ##os ] and do n ’ t red - hats hate when people mis ##con ##st ##ru ##e dumb things they do or say ? [ e ##os ] like , when trump re ##t ##wee ##ted those far - right anti - islam videos , red - hats argued that they did n ’ t really reflect some policy belief for trump . [ e ##os ] and now you ’ re arguing the opposite . [ e ##os ] i ’ ll edit in what i think the shirt means . [ e ##os ] [SEP] i do n ’ t see an edit . [ e ##os ] also , not sure who you ’ re quoting when you quote “ open borders ” . [ e ##os ] i never said the words open borders . [ e ##os ] you did . [ e ##os ] i was n ’ t the one creating the straw ##man . [ e ##os ] you are . [ e ##os ] all i did was point out that a democratic party leader is wearing a shirt that says in spanish that he does n ’ t believe in borders . [ e ##os ] it is a fact , not an argument . [ e ##os ] i ’ m genuinely curious what you think “ i do n ’ t believe in borders ” written in spanish means . [ e ##os ] but you ’ ve been di ##sing ##en ##uous thus far . [ e ##os ] i ’ m not holding my breath for an honest discussion . [ e ##os ] [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
1	comment	comment	0.96	[CLS] io ##dine increases iq and is an essential part of the human diet , yet is absent from almost all salts today . [ e ##os ] we evolved for 99 . 99 % of our existence , prior to the invention of fire and tools , as fr ##ug ##ivo ##res . [ e ##os ] you can simply look at our body ' s digest ##ive system and it ' s self - evident , just as you can look at a cow ' s digest ##ive system and tell it ' s designed to eat grass rather than meat . [ e ##os ] perhaps we really did live for 600 + years until people started stray ##ing from that natural diet as om ##ni ##vor ##es and thereby damaging their bodies . [ e ##os ] pro ##biotic ##s are helpful for cult ##ivating a healthy ( for you ) gut flora , but make sure you ' re cult ##ivating the * right * bacteria . [ e ##os ] sour ##cr ##out , for example , contains plant - eating bacteria whereas kam ##buch ##a contains sugar - eating bacteria . [ e ##os ] dunn ##o about you , but i do not need encouragement to eat sugar . [ e ##os ] [SEP] the sugar ##s most people get in their diet is terrible , not just the kinds but the amounts . [ e ##os ] i think even recently studies were suggesting that c . di ##ff was being made worse through an alternative to su ##cr ##ose . [ e ##os ] i really doubt the 600 + years thing because we were also prone to infections , parasites , etc . . . there might be , or was at one time , humans with the right genetics to live that long but i do not really think so . [ e ##os ] as for pro ##biotic ##s , you definitely need to do a little bit of homework to avoid wasting your money . [ e ##os ] just like various supplements , the claims made by the companies making them can be misleading . [ e ##os ] [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
1	comment	comment	0.96	"[CLS] io ##dine increases iq and is an essential part of the human diet , yet is absent from almost all salts today . [ e ##os ] well the article is wrong because if you go to any grocery store near you , check out literally 90 % of the brands that sell salt . [ e ##os ] they will have somewhere on the label that says , "" does not contain io ##di ##de , a necessary nutrient . "" [ e ##os ] almost every form of table salt in any restaurant and the most popular brand , morton ' s does not contain io ##di ##de . [ e ##os ] this is as easily ve ##ri ##fia ##ble as going to the store . [ e ##os ] my parents have 4 different types of salt in their house , my grandparents have 3 different types and not one of them contain io ##di ##de . [ e ##os ] i was surprised this was the case because that ' s literally the whole point of salt , to supply io ##di ##de . [ e ##os ] i use ( actual ) himalayan pink salt , and mediterranean sea salt . [ e ##os ] both contain not only io ##di ##de but a bunch of other naturally - occurring minerals as well . [ e ##os ] i also take one drop of sub ##ling ##ual io ##dine every morning which helps the functions of your thyroid gland . [ e ##os ] thyroid is one of the glands located at the throat cha ##kra and in the last 6 - 8 months i ' ve taken it , i ' ve noticed a drastic increase in my ability to communicate my ideas . [ e ##os ] i always used to have a problem with this as an adult up until recently . [ e ##os ] it ' s definitely a crisis . [ e ##os ] at least in the us . [ e ##os ] [SEP] i was with you until you got into the whole cha ##kra throat thing . [ e ##os ] care to explain a bit more ? [ e ##os ] [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
1	comment	comment	0.98	[CLS] face facts : immigrants commit fewer crimes than u . s . - born peers [ e ##os ] & gt ; this is n ’ t even de ##bat ##able : $ ur ##l $ i do not trust their data because i found factual errors in it already . [ e ##os ] they claim 21 . 9 % of money laundering / rack ##ete ##ering convictions were for non - citizens , but the uss ##c data shows 33 . 8 % for money laundering and 11 . 9 % for rack ##ete ##ering ( separate categories ) and i ca not see how they get 21 . 9 % from that . [ e ##os ] their numbers for sex offenses and homicide ##s do not match up either . [ e ##os ] the numbers for auto theft are double what uss ##c has listed . [ e ##os ] find a better , less biased source that is not associated with white nationalists . & [ e ##os ] gt ; making it easier or harder to im ##mi ##grate legally has nothing to do with how someone feels about illegal ##s , it has to do w ##h the economic impact that comes with adding to a population . [ e ##os ] the right uses their supposed hatred of illegal ##s as an cover for their general x ##eno ##phobia . [ e ##os ] they want to keep * everyone * out , so they harp on illegal immigration to keep people distracted while they also cut back on legal immigration . [ e ##os ] the fact of the matter is that we * need * the millions of extra workers that legal and illegal immigration provides to keep our economy running . & [ e ##os ] gt ; there ’ s an excellent lecture called ‘ immigration by numbers ’ , i ’ d be interested in your feedback . [ e ##os ] $ ur ##l $ this has nothing to do with the situation at hand . [ e ##os ] [SEP] well then i guess we have nothing further to talk about , have a nice day . [ e ##os ] [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
1	comment	comment	0.86	"[CLS] face facts : immigrants commit fewer crimes than u . s . - born peers [ e ##os ] costa rica is a pretty nice place to live . [ e ##os ] except for that island off the coast with the runaway dinosaurs . [ e ##os ] / s panama has improved so much that it is giving the cayman islands a run for hiding rich people ' s money from progressive governments . [ e ##os ] it ' s not impossible for competent governments to function in the region . [ e ##os ] people just have to make imp ##ris ##oning criminals a priority over imp ##ris ##oning women who have mis ##carriage ##s . [ e ##os ] [SEP] panama is used as a major drug trafficking * port * and gets a hands - off on the worst of the violence , whereas mexico is so large and populated that its status as a border country does not matter because that ' s where so many of the producers and their rich over ##lord ##s are living . [ e ##os ] panama is used as the clean business front . [ e ##os ] you also ca not ignore the * positive * involvement of the us in panama ( overseeing the canal ) ; we have an obvious economic interest in panama * not * being a terrifying place because it would shit all over our trade , whereas the security of mexico or colombia is less of a concern for us . [ e ##os ] first , the way we profit ##ed by drug countries was * through * the creation and sale of drugs . [ e ##os ] then , when those drugs are sold in the us , we profit by criminal ##izing them and filling the prisons with cheap labor , with the secondary "" benefit "" of di ##sp ##rop ##ort ##ion ##ately target ##ting people of color and other und ##es ##ira ##bles ; a fine bonus for the racist ##s in charge of policy . [ e ##os ] fear of violence increases the production and sale of arms , both small ( for the protection of the average citizen ) [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
